first_name,year_symposium,location_symposium,final_gender,invited
Eleni,2016,Bangor,female,No
Elise,2019,Hull,female,Yes
elizabeth,1999,St Andrews,female,No
Elizabeth,2016,Bangor,female,No
Ellen,2014,Hull,female,No
Ellie,2025,Belfast,female,No
Ellot,2025,Belfast,male,No
Emilie,2024,Bilbao,female,No
Emily,2019,Hull,female,No
Emily,2016,Bangor,female,No
Emily,2023,Essex,female,No
Emily,2022,Nottingham,female,No
Emily,2018,UEA,female,No
Emily,2022,Nottingham,female,No
Emma,2023,Essex,female,Yes
Emma,2023,Essex,female,No
Emma,2022,Nottingham,female,No
Eoin,2023,Essex,male,Yes
Eric,2023,Essex,male,No
Eric,2016,Bangor,male,No
Erik,2012,UEA,male,No
Erik,2009,Leicester,male,No
Erika,2024,Bilbao,female,No
Erling,1999,St Andrews,male,No
Estibaliz,2025,Belfast,female,No
Eugene,2025,Belfast,male,No
Eustratios,1999,St Andrews,male,No
Eva,2017,Exeter,female,No
Eva,2015,Plymouth,female,No
Evoy,1999,St Andrews,female,No
Ewen,1987,Plymouth,male,No
Faye,2021,Leuven,female,No
Faye,2022,Nottingham,female,No
Felicity,2009,Leicester,female,Yes
Felicity,1993,Conwy,female,Yes
Felicity,2017,Exeter,female,No
Felicity,2009,Leicester,female,No
Felicity,2012,UEA,female,Yes
Felix,2025,Belfast,male,No
Felix,2017,Exeter,male,No
Filipe,2016,Bangor,male,No
Filipe,2024,Bilbao,male,No
Filipe,2023,Essex,male,No
Filipe,2024,Bilbao,male,No
Fiona,2014,Hull,female,No
Florianne,2017,Exeter,female,No
Forrest,1999,St Andrews,male,No
Frances,2019,Hull,female,No
Francesco,2022,Nottingham,male,No
Francis,2015,Plymouth,male,No
Frank,2009,Leicester,male,No
Frank,2009,Leicester,male,No
Frank,1999,St Andrews,male,No
Frederik,1987,Plymouth,male,No
Gabrielle,2012,UEA,female,No
Gania,1999,St Andrews,female,No
Gareth,2015,Plymouth,male,No
Gary,1993,Conwy,male,Yes
Gary,2018,UEA,male,No
Gary,2024,Bilbao,male,Yes
Gema,1999,St Andrews,female,No
Genevieve,2009,Leicester,female,No
Geoffrey,1993,Conwy,male,No
Georg,2018,UEA,male,No
Georg,2018,UEA,male,No
George,1987,Plymouth,male,No
George,2022,Nottingham,male,No
George,1968,London,male,No
Georgina,2009,Leicester,female,No
Georgina,2023,Essex,female,No
Gerard,1990,Lancaster,male,No
Gerhard,1999,St Andrews,male,No
Gerhard,2012,UEA,male,No
Gert,2019,Hull,female,No
Gert,1999,St Andrews,female,Yes
Gert,2019,Hull,female,No
Gert,2024,Bilbao,female,No
Gilles,1999,St Andrews,male,Yes
Gilles,1987,Plymouth,male,No
Giorgio,2019,Hull,male,No
Giovanna,2024,Bilbao,female,No
Giulia,2024,Bilbao,female,No
Glenn,2009,Leicester,male,No
Gopi,2024,Bilbao,female,No
Gordon,2018,UEA,male,No
Gordon,1993,Conwy,male,No
Gordon,1969,London,male,No
Gordon,2014,Hull,male,No
Gordon,1990,Lancaster,male,No
Gordon,1999,St Andrews,male,No
Goshi,2024,Bilbao,male,No
Govindhaswamy,2024,Bilbao,male,No
Grace,2025,Belfast,female,No
Grace,2022,Nottingham,female,No
Graeme,2023,Essex,male,No
Graeme,2025,Belfast,male,No
Graham,2018,UEA,male,No
Gregor,2015,Plymouth,male,Yes
Gregory,2016,Bangor,male,No
Gregory,1987,Plymouth,male,No
Gregory,2016,Bangor,male,No
Gry,2012,UEA,female,No
Gudbjorg,2022,Nottingham,female,No
Guillaume,2016,Bangor,male,No
Guy,2017,Exeter,male,No
Guy,2015,Plymouth,male,No
Hai-Thanh,2018,UEA,NA,No
Haili,2009,Leicester,female,No
Hajer,2012,UEA,female,No
Halcio,1999,St Andrews,male,No
Hallvard,2017,Exeter,male,No
Halvor,2024,Bilbao,male,No
Hanna,2019,Hull,female,No
Hanna,2023,Essex,female,No
Hannah,2022,Nottingham,female,No
Hannele,2022,Nottingham,female,No
Hans,1999,St Andrews,male,No
Hans,2012,UEA,male,No
Hans,1999,St Andrews,male,No
Hans,2018,UEA,male,Yes
Harry,1987,Plymouth,male,No
Harry,2017,Exeter,male,No
Hayler,2024,Bilbao,male,No
Heather,2018,UEA,female,Yes
Heidemarie,1987,Plymouth,female,No
Heike,2015,Plymouth,female,No
Heinz,1971,London Spring,male,No
Helcio,1999,St Andrews,male,No
Heleen,2021,Leuven,female,No
Helen,2022,Nottingham,female,No
Helen,2015,Plymouth,female,No
Helen,2022,Nottingham,female,No
Helen,2025,Belfast,female,No
Helga,1999,St Andrews,female,No
Henrik,2017,Exeter,male,No
Henrik,2016,Bangor,male,No
Henrik,2021,Leuven,male,No
Herman,2021,Leuven,male,No
Hilton,1987,Plymouth,male,No
Hiroya,1990,Lancaster,male,No
Homere,2021,Leuven,male,No
Howard,2023,Essex,male,No
Howard,1999,St Andrews,male,No
Hyo-Jae,2016,Bangor,male,No
Iain,2012,UEA,male,No
Iain,2017,Exeter,male,Yes
Ian,2017,Exeter,male,No
Ian,1993,Conwy,male,No
Ian,1968,London,male,No
Ian,2009,Leicester,male,No
Ian,2014,Hull,male,Yes
Ian,1999,St Andrews,male,No
Ian,1999,St Andrews,male,No
Ian,2017,Exeter,male,No
Ian,2024,Bilbao,male,No
Ian,1993,Conwy,male,No
Ian,2021,Leuven,male,No
Ian,2012,UEA,male,No
Ian,2018,UEA,male,No
Iestyn,2022,Nottingham,male,No
Iker,2024,Bilbao,male,No
Ilaria,2016,Bangor,female,No
Imanol,2021,Leuven,male,No
Imants,1982,London,male,No
Inger,1999,St Andrews,female,No
Ingolf,2009,Leicester,male,No
Ingvar,1993,Conwy,male,No
Io,2021,Leuven,female,No
Io,2021,Leuven,female,No
Ioanna,2009,Leicester,female,No
Ione,1999,St Andrews,female,No
Ionna,2017,Exeter,female,No
Isaac,2021,Leuven,male,No
Isabelle,2017,Exeter,female,Yes
Isabelle,2019,Hull,female,No
Isla,2017,Exeter,female,No
Iyob,2014,Hull,male,No
Jack,2022,Nottingham,male,No
Jack,2017,Exeter,male,No
Jackie,2016,Bangor,female,No
Jaclyn,2009,Leicester,female,No
Jaclyn,2009,Leicester,female,No
Jaco,2016,Bangor,male,No
Jacques,1993,Conwy,male,No
